"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.134336001725","12.6897579454611","10.3603817107467","11.9484046164291","11.1654087876017","9.86038937465642","9.35459613289025","8.30276004557373","4.696372864714","4.31176435442433","5.10979266008033","3.83314218682084","3.6802510519657","3.65259208973618","3.72178805334859","",
"Angola","AGO","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.0329203539823","13.8754641909814","6.23386766076421","27.3755173365217","12.8833216075983","10.7886306722638","9.19173249002421","10.934564719985","11.647001444409","13.9189386804869","12.2909147359025","8.16726388801576","6.7844883516873","10.4641462831647","10.6044765542859","8.70453590660844","8.6986152300512","12.0250823840334","12.8877330994519","11.4798434431899","12.3999736844991","10.5384146392043","9.39564806622377","",
"Albania","ALB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.73437520175261","5.42898862467715","6.22608105672699","6.25619786501779","4.64272721436367","5.30374152460951","5.28386450211732","5.26790009594914","4.82648553602103","4.24379456853927","3.82627416237853","3.78723434007733","3.80518109954003","4.07807168217319","",
"Andorra","AND","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5656054895464","24.3181443939039","24.5369118074804","24.0862562656997","22.807982049882","21.3513788758944","22.7949802369538","27.6332967975572","25.4567546100597","","22.8128241378529","19.7852309668628","19.2626052887976","18.30724615043","18.422393599314","18.4118017828011","17.6755050057258","16.0275320916847","15.8539228818442","15.8229093324919","14.9840368520777","15.5045684113001","17.143327718626","17.9144647415434","21.7205039361684","17.8575227700957","20.7827920924597","","",
"United Arab Emirates","ARE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1598216381131","20.6072477962782","20.6520006376534","26.1858822672831","22.2450898453824","22.8546521764398","23.4029772501393","26.042587718842","23.2249044823855","20.6432633849774","18.5816629191982","16.7108388253614","15.5930955120829","18.7415637308207","17.5485140622275","17.4275928988533","19.9148885242204","17.0387678455648","","","","","",
"Argentina","ARG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.76284549024364","4.89338277900104","4.51515192492326","4.39399818910878","4.28530734075625","4.06985440765856","4.00720339516667","4.46897382514305","4.30799809877717","3.83551589255185","3.46841528211183","2.96145853013414","2.68249979246379","2.47952111791934","2.56782822034626","2.44287892044993","2.1898693231576","2.1314864500347","2.22790560987427","2.26011343005053","2.0551409988876","1.95196454064956","2.06195497916885","2.05024486936193","",
"Armenia","ARM","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.4528085980008","14.7377317647059","13.5710046894098","15.2706602976948","14.5588154965548","16.2807704907726","15.4377929045529","15.988405530378","16.7974983626821","16.4371298838073","16.0998622019081","15.1226843913935","14.7915069911963","20.8598748705435","",
"American Samoa","ASM","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.04351515722974","6.91501827050767","6.79190522886154","6.54926201406241","6.36201933521616","6.3810935335245","6.26089197614197","6.00408729628834","5.76108164555223","5.68630161751726","5.38823484588715","5.20876582935437","5.18288400684111","5.2337558515831","5.35459331229545","5.28148237608047","5.23522482531062","5.19949728244568","5.26488701791899","5.28441792672981","5.12611053421022","5.08865719566542","5.02154556708885","4.84303568275815","4.57222104846879","4.49368891405285","4.80982496733587","5.22098082108653","5.57585487539743","5.48443200779804","5.12236520204653","",
"Austria","AUT","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.70275019769792","2.6357112705783","2.54508548676712","2.41118378863666","2.23902106697411","2.05751372251182","2.02627916406396","1.9012255498742","1.86221022984657","1.94611688864562","1.8307218301565","1.9444742410797","1.93159028105101","1.76504348593881","1.68193442016185","1.82318437443309","1.65790767717745","1.66192198199585","1.55982953492681","1.82864212363054","1.7459147315395","1.53927540878487","1.55432460438281","1.55406732517693","1.5200500024511","1.45374554670875","1.42911231198155","1.36812564395945","1.45875723900454","1.54373861692146","1.51980055614153","",
"Azerbaijan","AZE","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.02325581395349","14.6733668341709","11.4074074074074","11.5047021943574","13.3870967741935","13.4646739130435","12.4274099883856","13.7780269058296","9.69351389878831","11.2015503875969","10.8567279767667","10.2201277955272","13.5083280624078","10.9874205329366","10.4683413899675","9.63695563695564","8.7333284208975","13.8434832100171","12.7158954926207","12.0194713616305","12.5225938693748","14.1285537700865","10.4261589558872","10.5502535638701","10.9908069458631","",
"Burundi","BDI","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2818774844562","16.3792557570129","11.8530519309922","13.8275986619973","20.1051872104504","16.3619957371999","20.6014092604725","29.1190810124892","28.3389903561231","24.7561303996595","19.729224479763","23.9026157681554","22.6086486194121","15.1734290658333","12.016657909588","13.3852761961842","9.62808386479659","8.76318413181508","6.61009106671616","","","","6.73124099836981","7.13966716456193","6.66849265674622","8.10182985253679","9.99645096415474","8.57995329256196","8.43064530149807","",
"Belgium","BEL","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.63641442671798","4.46832085813638","4.27783584246926","4.06093424205645","3.23593584149074","3.00420796708435","3.02972204469884","2.93285103465695","2.86268234135533","2.82184161203673","2.78108605070936","2.76218514883873","2.73424177351102","2.59515359197161","2.45566366807417","2.39573595278293","2.34866728695747","2.11428322689368","2.1696962804304","2.26851851851852","2.41424053654783","2.14225959145638","2.03337612323492","1.91407005999613","1.8583788727775","1.80976469406576","1.76943530007597","1.71514707080583","1.73186118473334","1.74552156027006","1.7873853640277","",
"Benin","BEN","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.465183140705","9.2393439910657","","","","","","","","","4.51693542418736","2.63947317946423","2.31734513060983","4.07497852552427","4.72911857539926","5.0611664622052","4.81642006879141","5.11865555783386","","4.56347519405476","","","","4.93158026676348","4.6141967264387","4.92756978294514","4.39873750184097","4.36613462873005","5.17633605245102","3.72407594485381","",
"Burkina Faso","BFA","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.8868053743804","18.8348296338187","17.1541313282759","14.0363938322333","13.8429068339425","9.41532579257607","7.9615947832598","7.0871449205585","6.46392618876706","6.99255060275786","6.34201708806149","5.75813588752591","6.24419839804014","5.8775638151049","6.05109083177967","6.09743494346954","5.95841131926439","5.94497653298737","5.07503851812456","6.19886562666449","6.6857141398777","6.28633922288823","5.65586255919795","5.63173140563354","5.18806922928762","4.89334303122802","6.07970793192482","6.14369172003146","5.38717775711047","5.1953023255814","8.00604884255951","",
"Bangladesh","BGD","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3337737612391","10.4500622232423","10.2820063762895","10.4265603011602","11.5816318191492","11.1583204797183","11.8260783388741","11.4423578518563","11.9872758971844","12.2654684840685","12.3268919009626","14.158162194723","12.3096970956816","10.5139681996053","10.123572344162","9.87597269802709","10.1051512216247","9.47922027308811","9.77435613164746","10.3575151103263","8.13035028848964","9.7293875642094","11.1722830540773","10.4551431053509","9.94526690296618","9.13185583548849","9.72598843020906","10.5139783915866","10.9210644899641","10.7648406939592","10.159261551542","",
"Bulgaria","BGR","Military expenditure (% of general government expenditure)","MS.MIL.XPND.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96468263768832","7.24461623412479","7.14354112802834","7.84747412191454","7.92534940162357","7.52499427611997","7.18793828892006","6.88038995125609","6.72100097572175","7.01512413202701","5.69576100783783","5.48272234361091","5.10105499091858","4.49793619565637","4.57356552801965","4.54361610968295","3.94846484199731","3.48715494811137","4.28163958593725","4.36793967404524","4.81270013784328","",
