Ranking,Country,GDP (millions of dollars)
1,United States,"19,485,394"
2,China,"12,237,700"
3,Japan,"4,872,415"
4,Germany,"3,693,204"
5,India,"2,650,725"
6,United Kingdom,"2,637,866"
7,France,"2,582,501"
8,Brazil,"2,053,595"
9,Italy,"1,943,835"
10,Canada,"1,647,120"
11,Russian Federation,"1,578,417"
12,"Korea, Rep.","1,530,751"
13,Australia,"1,323,421"
14,Spain,"1,314,314"
15,Mexico,"1,150,888"
16,Indonesia,"1,015,421"
17,Turkey,"851,549"
18,Netherlands,"830,573"
19,Saudi Arabia,"686,738"
20,Switzerland,"678,965"
21,Argentina,"637,430"
22,Sweden,"535,607"
23,Poland,"526,466"
24,Belgium,"494,764"
25,Thailand,"455,303"
26,"Iran, Islamic Rep.","454,013"
27,Austria,"416,836"
28,Norway,"399,489"
29,United Arab Emirates,"382,575"
30,Nigeria,"375,745"
31,Israel,"353,268"
32,South Africa,"348,872"
33,"Hong Kong SAR, China","341,449"
34,Ireland,"331,430"
35,Denmark,"329,866"
36,Singapore,"323,907"
37,Malaysia,"314,710"
38,Colombia,"314,458"
39,Philippines,"313,595"
40,Pakistan,"304,952"
41,Chile,"277,076"
42,Finland,"252,302"
43,Bangladesh,"249,724"
44,"Egypt, Arab Rep.","235,369"
45,Vietnam,"223,780"
46,Portugal,"219,308"
47,Czech Republic,"215,914"
48,Romania,"211,884"
49,Peru,"211,389"
50,New Zealand,"204,139"
51,Greece,"203,086"
52,Iraq,"192,061"
53,Algeria,"167,555"
54,Qatar,"166,929"
55,Kazakhstan,"162,887"
56,Hungary,"139,761"
57,Angola,"122,124"
58,Kuwait,"120,126"
59,Sudan,"117,488"
60,Ukraine,"112,154"
61,Morocco,"109,709"
62,Ecuador,"104,296"
63,Puerto Rico,"103,961"
64,Cuba,"96,851"
65,Slovak Republic,"95,618"
66,Sri Lanka,"87,357"
67,Ethiopia,"80,561"
68,Kenya,"79,263"
69,Dominican Republic,"75,932"
70,Guatemala,"75,620"
71,Oman,"70,784"
72,Myanmar,"67,069"
73,Luxembourg,"62,316"
74,Panama,"62,284"
75,Ghana,"58,997"
76,Bulgaria,"58,221"
77,Costa Rica,"57,286"
78,Uruguay,"56,157"
79,Croatia,"55,213"
80,Belarus,"54,456"
81,Lebanon,"53,577"
82,Tanzania,"53,321"
83,"Macao SAR, China","50,361"
84,Uzbekistan,"49,677"
85,Slovenia,"48,770"
86,Lithuania,"47,544"
87,Serbia,"41,432"
88,Azerbaijan,"40,748"
89,Jordan,"40,068"
90,Tunisia,"39,952"
91,Paraguay,"39,667"
92,Libya,"38,108"
93,Turkmenistan,"37,926"
94,"Congo, Dem. Rep.","37,642"
95,Bolivia,"37,509"
96,Cote d'Ivoire,"37,353"
97,Bahrain,"35,433"
98,Cameroon,"34,923"
99,"Yemen, Rep.","31,268"
100,Latvia,"30,463"
101,Estonia,"26,612"
102,Uganda,"25,995"
103,Zambia,"25,868"
104,Nepal,"24,880"
105,El Salvador,"24,805"
106,Iceland,"24,488"
107,Honduras,"22,979"
108,Cambodia,"22,158"
109,Trinidad and Tobago,"22,079"
110,Cyprus,"22,054"
111,Zimbabwe,"22,041"
112,Senegal,"21,070"
113,Papua New Guinea,"20,536"
