Ranking,Country,GDP (millions of dollars)
1,China,"23,350,230"
2,United States,"19,485,394"
3,India,"9,596,835"
4,Japan,"5,333,444"
5,Germany,"4,345,631"
6,Russian Federation,"3,783,139"
7,Brazil,"3,255,145"
8,Indonesia,"3,249,635"
9,United Kingdom,"2,965,796"
10,France,"2,954,850"
11,Italy,"2,477,386"
12,Mexico,"2,409,660"
13,Turkey,"2,261,008"
14,"Korea, Rep.","1,998,130"
15,Spain,"1,818,878"
16,Saudi Arabia,"1,775,144"
17,Canada,"1,707,283"
18,"Iran, Islamic Rep.","1,695,064"
19,Thailand,"1,236,472"
20,Australia,"1,214,798"
21,Poland,"1,136,348"
22,"Egypt, Arab Rep.","1,132,434"
23,Nigeria,"1,123,781"
24,Pakistan,"1,091,293"
25,Malaysia,"933,278"
26,Netherlands,"932,320"
27,Argentina,"922,116"
28,Philippines,"877,169"
29,South Africa,"767,167"
30,Colombia,"711,615"
31,United Arab Emirates,"695,942"
32,Vietnam,"648,742"
33,Iraq,"648,183"
34,Bangladesh,"638,430"
35,Algeria,"631,868"
36,Belgium,"561,911"
37,Switzerland,"560,354"
38,Singapore,"528,139"
39,Romania,"522,113"
40,Sweden,"517,014"
41,Kazakhstan,"477,836"
42,Austria,"474,007"
43,"Hong Kong SAR, China","455,852"
44,Chile,"446,806"
45,Peru,"433,036"
46,Czech Republic,"402,796"
47,Ukraine,"369,566"
48,Ireland,"369,243"
49,Qatar,"339,526"
50,Israel,"338,666"
51,Portugal,"335,319"
52,Myanmar,"329,498"
53,Norway,"328,137"
54,Denmark,"313,364"
55,Greece,"307,367"
56,Morocco,"298,504"
57,Kuwait,"298,226"
58,Hungary,"281,880"
59,Sri Lanka,"275,825"
60,Finland,"255,270"
61,Uzbekistan,"222,810"
62,Ethiopia,"199,759"
63,Sudan,"199,180"
64,Angola,"198,299"
65,New Zealand,"195,340"
66,Ecuador,"193,049"
67,Oman,"191,622"
68,Belarus,"179,475"
69,Slovak Republic,"176,075"
70,Dominican Republic,"172,957"
71,Azerbaijan,"171,952"
72,Tanzania,"163,993"
73,Kenya,"163,632"
74,Bulgaria,"148,228"
75,Guatemala,"138,142"
76,Tunisia,"137,650"
77,Puerto Rico,"129,983"
78,Ghana,"129,805"
79,Libya,"125,408"
80,Croatia,"108,457"
81,Serbia,"108,345"
82,Turkmenistan,"103,824"
83,Panama,"100,501"
84,Cote d'Ivoire,"95,837"
85,Lithuania,"94,052"
86,Cameroon,"89,538"
87,Paraguay,"89,292"
88,Jordan,"88,998"
89,Lebanon,"88,271"
90,Costa Rica,"83,936"
91,Bolivia,"83,723"
92,Uganda,"80,076"
93,Nepal,"79,194"
94,Uruguay,"78,158"
95,Slovenia,"75,191"
96,"Yemen, Rep.","73,632"
97,"Congo, Dem. Rep.","72,319"
98,"Macao SAR, China","71,824"
99,Bahrain,"71,208"
100,Afghanistan,"70,220"
101,Zambia,"68,934"
102,Cambodia,"64,303"
103,Luxembourg,"64,190"
104,Latvia,"55,086"
105,Senegal,"54,804"
106,El Salvador,"51,170"
107,Lao PDR,"48,270"
108,Honduras,"46,296"
109,Bosnia and Herzegovina,"45,969"
110,Estonia,"44,064"
111,Trinidad and Tobago,"43,326"
112,Mali,"41,130"
113,Zimbabwe,"40,229"
114,Madagascar,"39,848"
115,Mongolia,"39,817"
116,Georgia,"39,794"
117,Botswana,"39,014"
118,Albania,"37,192"
119,Mozambique,"37,093"
120,Gabon,"36,682"
121,Nicaragua,"36,401"
122,Burkina Faso,"35,818"
123,Papua New Guinea,"34,718"
124,Brunei Darussalam,"33,869"
125,North Macedonia,"31,852"
126,Equatorial Guinea,"30,981"
127,Cyprus,"30,953"
128,Chad,"28,985"
129,"Congo, Rep.","28,694"
130,Guinea,"28,576"
131,Tajikistan,"28,564"
132,Armenia,"28,331"
133,Mauritius,"28,272"
134,Namibia,"26,531"
135,Jamaica,"26,202"
136,Benin,"25,441"
137,Rwanda,"24,948"
138,Kyrgyz Republic,"23,153"
139,West Bank and Gaza,"22,935"
140,Malawi,"22,435"
141,Niger,"21,880"
142,South Sudan,"20,730"
143,Moldova,"20,269"
144,Haiti,"19,973"
145,Kosovo,"19,698"
146,Malta,"19,093"
147,Iceland,"18,998"
148,Mauritania,"17,495"
149,Togo,"12,971"
150,"Bahamas, The","12,056"
151,Montenegro,"12,046"
152,Eswatini,"11,839"
153,Sierra Leone,"11,565"
154,Timor-Leste,"9,370"
155,Fiji,"8,670"
156,Suriname,"8,559"
157,Burundi,"7,990"
158,Bhutan,"7,585"
159,Maldives,"7,282"
160,Lesotho,"6,548"
161,Guyana,"6,363"
162,Liberia,"6,082"
163,Barbados,"5,303"
164,Aruba,"4,157"
165,Cabo Verde,"3,777"
166,Cayman Islands,"3,589"
167,"Gambia, The","3,569"
168,Central African Republic,"3,389"
169,Belize,"3,194"
170,Guinea-Bissau,"3,171"
171,Seychelles,"2,811"
172,St. Lucia,"2,501"
173,Antigua and Barbuda,"2,400"
174,Comoros,"2,239"
175,San Marino,"2,123"
176,Grenada,"1,634"
177,St. Kitts and Nevis,"1,585"
178,Solomon Islands,"1,484"
179,Sint Maarten (Dutch part),"1,382"
180,Samoa,"1,304"
181,St. Vincent and the Grenadines,"1,293"
182,Vanuatu,888
183,Dominica,742
184,Sao Tome and Principe,686
185,Tonga,645
186,"Micronesia, Fed. Sts.",391
187,Palau,323
188,Kiribati,254
189,Marshall Islands,226
190,Nauru,194
191,Tuvalu,44
