"country","medianHouseholdIncome","medianPerCapitaIncome","pop2020"
"Luxembourg","52493","18418","625.9780"
"Norway","51489","19308","5421.2410"
"Sweden","50514","18632","10099.2650"
"Australia","46555","15026","25499.8840"
"Denmark","44360","18262","5792.2020"
"United States","43585","15480","331002.6510"
"Canada","41280","15181","37742.1540"
"South Korea","40861","11950","51269.1850"
"Kuwait","40854","7487","4270.5710"
"Netherlands","38584","14450","17134.8720"
"New Zealand","35562","12147","4822.2330"
"Hong Kong","35443","9705","7496.9810"
"Austria","34911","12284","9006.3980"
"Japan","33822","10840","126476.4610"
"Germany","33333","14098","83783.9420"
"Taiwan","32762","6882","23816.7750"
"Singapore","32360","7345","5850.3420"
"United Kingdom","31617","12399","67886.0110"
"France","31112","12445","65273.5110"
"Israel","30364","7847","8655.5350"
"Belgium","26703","10189","11589.6230"
"Qatar","26555","5117","2881.0530"
"Slovenia","25969","8656","2078.9380"
"Ireland","25085","8048","4937.7860"
"Saudi Arabia","24980","4762","34813.8710"
"Bahrain","24693","4778","1701.5750"
"Finland","24615","15725","5540.7200"
"Czech Republic","22913","7821","10708.9810"
"Spain","21959","7284","46754.7780"
"Malta","21141","6869","441.5430"
"Italy","20085","6874","60461.8260"
"Cyprus","18242","4932","1207.3590"
"Greece","17777","6086","10423.0540"
"Slovakia","17415","5455","5459.6420"
"Croatia","16231","5177","4105.2670"
"Portugal","16186","5519","10196.7090"
"Poland","15338","4578","37846.6110"
"Belarus","15085","5236","9449.3230"
"Argentina","14432","4109","45195.7740"
"Lebanon","13004","2960","6825.4450"
"Estonia","12577","5031","1326.5350"
"Hungary","12445","4493","9660.3510"
"Lithuania","12375","4719","2722.2890"
"Iran","12046","3115","83992.9490"
"Russia","11724","4129","145934.4620"
"Mexico","11680","2900","128932.7530"
"Montenegro","11519","3123","628.0660"
"Azerbaijan","11446","2430","10139.1770"
"Venezuela","11299","2328","28435.9400"
"Malaysia","11207","2267","32365.9990"
"Ukraine","11074","3876","43733.7620"
"Latvia","10461","4000","1886.1980"
"Tunisia","8966","1646","11818.6190"
"Turkey","8955","2538","84339.0670"
"Costa Rica","8929","2032","5094.1180"
"Serbia","8921","3020","8737.3710"
"Macedonia","8606","1990","2083.3740"
"Bulgaria","8487","2829","6948.4450"
"Panama","8356","2011","4314.7670"
"Jordan","8276","1550","10203.1340"
"Syria","8193","1431","17500.6580"
"Chile","8098","2040","19116.2010"
"Uruguay","7949","2488","3473.7300"
"Romania","7922","2618","19237.6910"
"Algeria","7849","1392","43851.0440"
"Brazil","7522","2247","212559.4170"
"Kazakhstan","7492","1958","18776.7070"
"Bosnia and Herzegovina","7383","2553","3280.8190"
"Albania","7314","1902","2877.7970"
"Thailand","7029","1795","69799.9780"
"Ecuador","6858","1682","17643.0540"
"Mauritania","6679","778","4649.6580"
"Morocco","6634","1135","36910.5600"
"Colombia","6544","1534","50882.8910"
"Nicaragua","6488","1173","6624.5540"
"Bolivia","6399","1403","11673.0210"
"Libya","6398","1012","6871.2920"
"Dominican Republic","6302","1623","10847.9100"
"China","6180","1786","1439323.7760"
"Paraguay","6179","1292","7132.5380"
"Mongolia","5922","1440","3278.2900"
"South Africa","5217","1217","59308.6900"
"Peru","5161","1077","32971.8540"
"Tajikistan","5137","713","9537.6450"
"Iraq","4917","617","40222.4930"
"Honduras","4848","821","9904.6070"
"El Salvador","4828","1114","6486.2050"
"Vietnam","4783","1124","97338.5790"
"Guatemala","4516","898","17915.5680"
"Moldova","4158","1329","4033.9630"
"Afghanistan","4121","378","38928.3460"
"Pakistan","4060","480","220892.3400"
"Kyrgyzstan","4034","828","6524.1950"
"Comoros","3912","598","869.6010"
"Senegal","3897","402","16743.9270"
"Armenia","3865","926","2963.2430"
"Sudan","3640","579","43849.2600"
"Botswana","3603","740","2351.6270"
"Angola","3534","720","32866.2720"
"Laos","3379","615","7275.5600"
"Sri Lanka","3242","719","21413.2490"
"Yemen","3178","400","29825.9640"
"India","3168","616","1380004.3850"
"Egypt","3111","623","102334.4040"
"Bangladesh","2819","567","164689.3830"
"Haiti","2735","627","11402.5280"
"Nepal","2718","519","29136.8080"
"Niger","2708","307","24206.6440"
"Nigeria","2667","493","206139.5890"
"Georgia","2591","734","3989.1670"
"Philippines","2401","478","109581.0780"
"Chad","2394","338","16425.8640"
"Sierra Leone","2330","233","7976.9830"
"Cambodia","2308","451","16718.9650"
"Indonesia","2199","541","273523.6150"
"Tanzania","2154","384","59734.2180"
"Republic of the Congo","2106","416","5518.0870"
"Cameroon","2075","403","26545.8630"
"Ghana","2050","47","31072.9400"
"DR Congo","1988","308","89561.4030"
"Mali","1983","165","20250.8330"
"Kenya","1870","402","53771.2960"
"Uganda","1775","296","45741.0070"
"Burkina Faso","1530","168","20903.2730"
"Benin","1502","237","12123.2000"
"Zambia","1501","287","18383.9550"
"Rwanda","1101","235","12952.2180"
"Madagascar","1013","205","27691.0180"
"Liberia","781","118","5057.6810"
"Burundi","673","129","11890.7840"
"Togo","571","279","8278.7240"
