Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Afghanistan,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860,652860
Angola,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700
Albania,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400
Andorra,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470
Arab World,11235451,11235451,11235451,11235451,11235451,11235451,11235451,11235451,11235451,11235451,11235451,11235451,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235411,11235431,11235431,11235431,11235431,11235431,11235431,11235431,11235431,11235431,11235431,11235431,11235251,11235241,11235251,11235311,11235331,11235341,11232831,11232823,11232828,11232831,11232639.01,11232640.01,11232647.01,11232647.01,11232647.01,11232647.01
United Arab Emirates,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020,71020
Argentina,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690
Armenia,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
American Samoa,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Antigua and Barbuda,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
