Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.134336,12.68975795,10.36038171,11.94840462,11.16540879,9.860389375,9.354596133,8.302760046,4.696372865,4.311764354,5.10979266,3.833142187,3.680251052,3.65259209,3.721788053,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.032920354,13.87546419,6.233867661,27.37551734,12.88332161,10.78863067,9.19173249,10.93456472,11.64700144,13.91893868,12.29091474,8.167263888,6.784488352,10.46414628,10.60447655,8.704535907,8.69861523,12.02508238,12.8877331,11.47984344,12.39997368,10.53841464,9.395648066,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.734375202,5.428988625,6.226081057,6.256197865,4.642727214,5.303741525,5.283864502,5.267900096,4.826485536,4.243794569,3.826274162,3.78723434,3.8051811,4.078071682,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.56560549,24.31814439,24.53691181,24.08625627,22.80798205,21.35137888,22.79498024,27.6332968,25.45675461,,22.81282414,19.78523097,19.26260529,18.30724615,18.4223936,18.41180178,17.67550501,16.02753209,15.85392288,15.82290933,14.98403685,15.50456841,17.14332772,17.91446474,21.72050394,17.85752277,20.78279209,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.15982164,20.6072478,20.65200064,26.18588227,22.24508985,22.85465218,23.40297725,26.04258772,23.22490448,20.64326338,18.58166292,16.71083883,15.59309551,18.74156373,17.54851406,17.4275929,19.91488852,17.03876785,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.76284549,4.893382779,4.515151925,4.393998189,4.285307341,4.069854408,4.007203395,4.468973825,4.307998099,3.835515893,3.468415282,2.96145853,2.682499792,2.479521118,2.56782822,2.44287892,2.189869323,2.13148645,2.22790561,2.26011343,2.055140999,1.951964541,2.061954979,2.050244869,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4528086,14.73773176,13.57100469,15.2706603,14.5588155,16.28077049,15.4377929,15.98840553,16.79749836,16.43712988,16.0998622,15.12268439,14.79150699,20.85987487,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
