Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,47000,,,,55000,58000,45000,45000,45000,45000,383000,429000,429000,400000,400000,400000,,120000,130000,27000,27000,51000,51000,94000,255745,306800,340350,338150,330650,308800,319400,323000,323000,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,49500,,,,107000,115000,150000,128000,128000,120000,122000,106400,125500,129000,127500,117500,145500,110000,130000,118000,118000,110000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,117000,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,40400,,,,,,,65000,65000,65000,86500,67500,67500,67500,67500,67500,40500,27000,22000,21500,22500,11500,14500,14500,14745,14745,14750,14750,8500,8500,8500,8500,9000,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,2712700,,,,2885000,3340000,2422000,2276000,2276000,2223000,3089500,3173100,3223150,3256750,3125800,3200800,3200400,3166200,3164800,2929000,3051000,3260000,3264000,3480000,3578675,3598680,3513260,3542060,2866760,2881760,2881560,2781410,2737000,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,43000,,,,43000,66000,66000,55000,55000,60000,71000,65500,65500,65500,65500,66000,66000,41500,50500,50000,51000,51000,51000,51000,51000,51000,51000,51000,63000,63000,63000,63000,63000,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,108000,,,,95000,85000,70000,65000,65000,69000,98500,103700,104240,104240,101740,102300,101300,101100,102600,102000,102000,107000,107000,107000,104340,104340,104350,104350,105650,105650,105450,105450,105000,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,21000,45000,61000,58400,61000,54400,54400,42300,43000,45600,45600,49000,49000,47000,42000,42000,55570,55528,55544,49100,49100,49100,49100,49100,49000,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
